,Comments_youtube,Label,COMMENTS_YOUTUBE,TOKENIZATION,STOP_REMOVAL,STEMMING
0,semoga aja gajadi sekolah awal tahun karna waktu kemarin ada simulasi belajar siswa di sekolah pas di test ada yang positif kayaknya si belom boleh masuk sekolah awal tahun karna blom tentu corona nya ilang ,negatif,semoga aja gajadi sekolah awal tahun karna waktu kemarin ada simulasi belajar siswa di sekolah pas di test ada yang positif kayaknya si belom boleh masuk sekolah awal tahun karna blom tentu corona nya ilang ,"['semoga', 'aja', 'gajadi', 'sekolah', 'awal', 'tahun', 'karna', 'waktu', 'kemarin', 'ada', 'simulasi', 'belajar', 'siswa', 'di', 'sekolah', 'pas', 'di', 'test', 'ada', 'yang', 'positif', 'kayaknya', 'si', 'belom', 'boleh', 'masuk', 'sekolah', 'awal', 'tahun', 'karna', 'blom', 'tentu', 'corona', 'nya', 'ilang', '']",semoga aja gajadi sekolah karna kemarin simulasi belajar siswa sekolah pas test positif kayaknya si belom masuk sekolah karna blom corona nya ilang ,moga aja gajadi sekolah karna kemarin simulasi ajar siswa sekolah pas test positif kayak si bom masuk sekolah karna blom corona nya ilang
1,tatap muka moga2 tdk terlalu ribet dgn terlalu bnyk aturan online bikin anak time management ga karuan jam tidur jam mandi jam makan terbalik2 ditambah tugas banyak ,positif,tatap muka moga2 tdk terlalu ribet dgn terlalu bnyk aturan online bikin anak time management ga karuan jam tidur jam mandi jam makan terbalik2 ditambah tugas banyak ,"['tatap', 'muka', 'moga2', 'tdk', 'terlalu', 'ribet', 'dgn', 'terlalu', 'bnyk', 'aturan', 'online', 'bikin', 'anak', 'time', 'management', 'ga', 'karuan', 'jam', 'tidur', 'jam', 'mandi', 'jam', 'makan', 'terbalik2', 'ditambah', 'tugas', 'banyak', '']",tatap muka moga2 tdk ribet dgn bnyk aturan online bikin anak time management ga karuan jam tidur jam mandi jam makan terbalik2 ditambah tugas ,tatap muka moga2 tdk ribet dgn bnyk atur online bikin anak time management ga karuan jam tidur jam mandi jam makan terbalik2 tambah tugas
2,sistem buka tutup sekolah akan tiba covid naik sekolah tutup covid turun sekolah buka gk kelar2 ,negatif,sistem buka tutup sekolah akan tiba covid naik sekolah tutup covid turun sekolah buka gk kelar2 ,"['sistem', 'buka', 'tutup', 'sekolah', 'akan', 'tiba', 'covid', 'naik', 'sekolah', 'tutup', 'covid', 'turun', 'sekolah', 'buka', 'gk', 'kelar2', '']",sistem buka tutup sekolah covid sekolah tutup covid turun sekolah buka gk kelar2 ,sistem buka tutup sekolah covid sekolah tutup covid turun sekolah buka gk kelar2
3,padahal indonesia tembus 500 000 covid astagfirullah,negatif,padahal indonesia tembus 500 000 covid astagfirullah,"['padahal', 'indonesia', 'tembus', '500', '000', 'covid', 'astagfirullah']",indonesia tembus 500 000 covid astagfirullah,indonesia tembus 500 000 covid astagfirullah
4,semuanya tergantung orang tua saya kalau misalnya saya terkena covid siapa yang harus tanggal jawab sampai saya mati dan adek saya masih kecil,negatif,semuanya tergantung orang tua saya kalau misalnya saya terkena covid siapa yang harus tanggal jawab sampai saya mati dan adek saya masih kecil,"['semuanya', 'tergantung', 'orang', 'tua', 'saya', 'kalau', 'misalnya', 'saya', 'terkena', 'covid', 'siapa', 'yang', 'harus', 'tanggal', 'jawab', 'sampai', 'saya', 'mati', 'dan', 'adek', 'saya', 'masih', 'kecil']",tergantung orang tua terkena covid tanggal mati adek,gantung orang tua kena covid tanggal mati adek
5,intinya itu kita kembalikan ke sikap orang tua masing2 ,negatif,intinya itu kita kembalikan ke sikap orang tua masing2 ,"['intinya', 'itu', 'kita', 'kembalikan', 'ke', 'sikap', 'orang', 'tua', 'masing2', '']",intinya kembalikan sikap orang tua masing2 ,inti kembali sikap orang tua masing2
6,saran saya berkaca lah pada korea selatan mereka terburu agar setiap anak kembali bersekolah secara tatap muka tetapi mereka justru mengalami gelombang 2 covid 19 sedangkan angka covid dari hari semakin naik mohon di pertimbangkan lagi,negatif,saran saya berkaca lah pada korea selatan mereka terburu agar setiap anak kembali bersekolah secara tatap muka tetapi mereka justru mengalami gelombang 2 covid 19 sedangkan angka covid dari hari semakin naik mohon di pertimbangkan lagi,"['saran', 'saya', 'berkaca', 'lah', 'pada', 'korea', 'selatan', 'mereka', 'terburu', 'agar', 'setiap', 'anak', 'kembali', 'bersekolah', 'secara', 'tatap', 'muka', 'tetapi', 'mereka', 'justru', 'mengalami', 'gelombang', '2', 'covid', '19', 'sedangkan', 'angka', 'covid', 'dari', 'hari', 'semakin', 'naik', 'mohon', 'di', 'pertimbangkan', 'lagi']",saran berkaca korea selatan terburu anak bersekolah tatap muka mengalami gelombang 2 covid 19 angka covid mohon pertimbangkan,saran kaca korea selatan buru anak sekolah tatap muka alami gelombang 2 covid 19 angka covid mohon timbang
7,kayaknya orang2 yg berada di atas pejabat atau orang2 yg protes sekolah tatap muka di buka engga mau corona hilang soalnya mereka cari ceperan dari situ buat ngenyengin perutnya pribadi ,positif,kayaknya orang2 yg berada di atas pejabat atau orang2 yg protes sekolah tatap muka di buka engga mau corona hilang soalnya mereka cari ceperan dari situ buat ngenyengin perutnya pribadi ,"['kayaknya', 'orang2', 'yg', 'berada', 'di', 'atas', 'pejabat', 'atau', 'orang2', 'yg', 'protes', 'sekolah', 'tatap', 'muka', 'di', 'buka', 'engga', 'mau', 'corona', 'hilang', 'soalnya', 'mereka', 'cari', 'ceperan', 'dari', 'situ', 'buat', 'ngenyengin', 'perutnya', 'pribadi', '']",kayaknya orang2 yg pejabat orang2 yg protes sekolah tatap muka buka engga corona hilang cari ceperan situ ngenyengin perutnya pribadi ,kayak orang2 yg jabat orang2 yg protes sekolah tatap muka buka engga corona hilang cari ceper situ ngenyengin perut pribadi
8,protokol kesehatan ketat di sklh gue skrng udah tatap muka tapi cuman bebrapa orang yg pakai masker trus ga ada yg jaga jarak trus ga di tegur guru,negatif,protokol kesehatan ketat di sklh gue skrng udah tatap muka tapi cuman bebrapa orang yg pakai masker trus ga ada yg jaga jarak trus ga di tegur guru,"['protokol', 'kesehatan', 'ketat', 'di', 'sklh', 'gue', 'skrng', 'udah', 'tatap', 'muka', 'tapi', 'cuman', 'bebrapa', 'orang', 'yg', 'pakai', 'masker', 'trus', 'ga', 'ada', 'yg', 'jaga', 'jarak', 'trus', 'ga', 'di', 'tegur', 'guru']",protokol kesehatan ketat sklh gue skrng udah tatap muka cuman bebrapa orang yg pakai masker trus ga yg jaga jarak trus ga tegur guru,protokol sehat ketat sklh gue skrng udah tatap muka cuman bebrapa orang yg pakai masker trus ga yg jaga jarak trus ga tegur guru
9,mau sekolah online ,netral,mau sekolah online ,"['mau', 'sekolah', 'online']",sekolah online ,sekolah online 
